CasB     00 25 08.07  64 09 55.7  3C10 4C63.01 CTA2 CTB4 NRAO22 SNR_G120.1+01.4
M31      00 42 44.31  41 16 09.4  NGC224 Andromeda
3C48     01 37 41.30  33 09 35.1  4C32.08 B2_0134+32 NRAO79 OC358 S2_0134+32 PKS_0134+329
ForA     03 22 41.52 -37 12 33.5  NGC1316 CTA23 PKS_0320-374
3C123    04 37 04.38  29 40 13.8  PerB B2_0433+29 4C29.14 CTA31 S1_0433+29 NRAO187 W7   
TauA     05 34 31.95  22 00 52.1  3C144 Crab M1 4C21.19 NRAO214 PKS_0531+219 CTA36 CTB18
OriA     05 35 17.30 -05 23 28.0  3C145 NGC1976 M42 4C-05.21 CTA37 PKS_0532-054
3C147    05 42 36.14  49 51 07.2  NRAO221 CTA39 OG465 S4_0538+498 4C49.14
3C161    06 27 10.10 -05 53 04.8  4C-05.23 PKS_0624-058
3C218    09 18 05.65 -12 05 44.0  HyaA CTA47 OK126 PKS_0915-118 NRAO319
3C227    09 47 45.15  07 25 20.6  4C07.29 CTA48 NRAO334 PKS_0945+076    
VirA     12 30 49.42  12 23 28.0  3C274 M87 4C12.45 CTA54 PKS_1228+126 NRAO401 NGC4486
3C286    13 31 08.29  30 30 33.0  4C30.26 CTA60 NRAO425 S2_1328+30 PKS_1328+307 OP348
CenA     13 25 27.62 -43 01 08.8  NGC5128 CTA59 PKS_1322-428 
3C295    14 11 20.65  52 12 09.1  4C52.30 CTA62 NRAO437 OQ514 S4_1409+524
3C348    16 51 09.00  04 59 34.0  HerA 4C05.66 CTA75 NRAO518 OS082 PKS_1648+050
3C353    17 20 28.16 -00 58 46.6  4C-00.67 CTA76 NRAO524 PKS1717-009 W21 
SgrA     17 45 12.00 -28 48 20.0  W24 
3C392    18 56 06.00  01 18 00.0  SNR_G034.6-00.5 4C01.57 CTA83 NRAO585 W44 3EG_J1856+0114  
3C400    19 23 42.00  14 30 33.0  SNR_G049.2-00.7 W51 CTB73
CygA     19 59 28.36  40 44 02.1  3C405 4C40.40 CTA88 CTB81 W57 NRAO620
DR21     20 39 01.10  42 19 43.0  W1E 
NGC7027  21 07 01.59  42 14 10.2  PN_G084.9-03.4
CasA     23 23 24.00  58 48 54.0  3C461 4C58.40 NRAO711 SNR_G111.7-02.1 CTA105 CTB110 W81 
