# ----------------------------------------------
# --- Station Static MIB Initialization File ---
# ----------------------------------------------
# 2013 Oct 31 by J. Dowell
#  -- Swapped the ARX_ANT/DP1_ANT values for stand #259 (LEDA Outrigger #3) 
#     with #203.
#  -- Swapped the ARX_ANT/DP1_ANT values for stand #257 (LEDA Outrigger #1)
#     with #198.
#  -- The FEE installed Stand #9 *may* be bad.
# 2013 Aug 15 by J. Dowell
#  -- Marked stand #86 as suspect (promoted from bad).
#  -- Swapped the ARX_ANT/DP1_ANT values for stands #257 and #260 
#     since they are swapped at the site.
# 2013 Mar 10 by J. Dowell
#  -- Updated the pointing correction terms
# 2013 Mar 06 by J. Dowell
#  -- Looks like there was a mixup in the prevous version with the lengths of
#     the LEDA outrigger cables.  This corrects that.
# 2013 Mar 05 by J. Dowell
#  -- Updated the stretch factors to take into account the LEDA64 spitter
# 2013 Feb 28 by J. Dowell
#  -- Looks like there was a bug in the LSL common.stations.Cable model with
#     regards to the calculation of the dispersive delay.  Updated the values 
#     for the five outrigger cable lengths.
#  -- Applied a new calibration solution using self-cal. on TBW data
#  -- Zeroed out the pointing correction
# 2013 Jan 23 by J. Dowell
#  -- Removed the extra ARB_ANT lines that filled out the last half of ARX 
#     board #33
# 2013 Jan 22 by J. Dowell
#  -- Added back in the LEDA-32 antennas
#  -- Added in LEDA outriggers #1 (stand #257), #2 (stand #260), and #3 (stand #259)
#  -- Replaced Stand #25 with LEDA outrigger #5
#  -- Updated the RPD and SEP cable names for the outriggers
#  -- Updated the PDU port mappings to be consistent with the July 2012 
#     reorganization e-mail from J. Craig
# 2012 Oct 24 by J. Dowell
#  -- Incorporated the latest info. on the status of good dipoles;  removed 12
# 2012 Sep 24 by J. Dowell
#  -- Updated the "PC_" values with the results of the new pointing correction
# 2012 Aug 29 by J. Dowell
#  -- Updated the "PC_" values with the results of the new pointing correction
# 2012 Aug 06 by J. Dowell
#  -- Set the "PC_" values to something that works for CygA
#  -- Updated the ARB_ID listings for the ARX board swaps
#  -- Updated the ANT_STAT listsings for antennas that have no signal and/or 
#     calibration
# 2012 July 02 by S. Ellingson 
#  -- Added "PC_" (pointing correction) keywords, set to defaults
#  -- Updated FORMAT_VERSION to 7
# 2012 May 16 by J. Dowell
#
# Search "FIXME" for things that need work

FORMAT_VERSION 7
STATION_ID VL
GEO_N   +34.070 # N Lat [deg]
GEO_E  -107.628 # E Lat [deg]
GEO_EL 2133.6   # [m] above MSL
N_STD 260

# ---------------------------------------
# --- Stand Positions  ------------------
# ---------------------------------------
# includes 1-256, plus:
#   LEDA Outrigger #1 as stand 257
#   LEDA Outrigger #2 as stand 260
#   LEDA Outrigger #3 as stand 259
#   RTA (LEDA Outrigger #4) as stand 258.  
# ---------------------------------------
# These will be set to 0.0 for any stand #'s <= N_STD not identified
# *** STD_LX[stand_id] [m] goes here 
# *** STD_LY[stand_id] [m] goes here 
# *** STD_LZ[stand_id] [m] goes here 
STD_LX[1]    -0.653
STD_LY[1]   -54.595
STD_LZ[1]    +3.204
STD_LX[2]    +0.550
STD_LY[2]   -49.298
STD_LZ[2]    +3.075
STD_LX[3]    -2.340
STD_LY[3]   -43.476
STD_LZ[3]    +2.802
STD_LX[4]    +1.604
STD_LY[4]   -39.395
STD_LZ[4]    +2.707
STD_LX[5]    -3.176
STD_LY[5]   -31.597
STD_LZ[5]    +2.503
STD_LX[6]    +1.885
STD_LY[6]   -26.034
STD_LZ[6]    +2.298
STD_LX[7]    +0.047
STD_LY[7]   -16.578
STD_LZ[7]    +2.020
STD_LX[8]    +0.386
STD_LY[8]   -10.796
STD_LZ[8]    +1.817
STD_LX[9]    -0.759
STD_LY[9]    -4.375
STD_LZ[9]    +1.683
STD_LX[10]    +1.887
STD_LY[10]    +0.875
STD_LZ[10]    +1.536
STD_LX[11]    -0.678
STD_LY[11]    +5.662
STD_LZ[11]    +1.403
STD_LX[12]    -1.338
STD_LY[12]   +14.429
STD_LZ[12]    +1.052
STD_LX[13]    -0.941
STD_LY[13]   +19.819
STD_LZ[13]    +0.893
STD_LX[14]    -0.218
STD_LY[14]   +25.201
STD_LZ[14]    +0.683
STD_LX[15]    +1.768
STD_LY[15]   +29.751
STD_LZ[15]    +0.511
STD_LX[16]    +2.643
STD_LY[16]   +35.450
STD_LZ[16]    +0.284
STD_LX[17]    -1.444
STD_LY[17]   +42.261
STD_LZ[17]    +0.163
STD_LX[18]    -1.004
STD_LY[18]   +47.373
STD_LZ[18]    +0.142
STD_LX[19]    -2.476
STD_LY[19]   +53.401
STD_LZ[19]    +0.058
STD_LX[20]    +7.905
STD_LY[20]   -51.405
STD_LZ[20]    +3.153
STD_LX[21]    -8.825
STD_LY[21]   -53.680
